MATERIALIZAÇÃO — 57 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.20/fixa-custo-beneficio/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.14 (planner + worker por registro)
[1/57] 01book_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["4","1/4","5","1/5","Levar has read less of the novel.","ok"] | problema fixo: APROVADO
[49/57] 17salad_rep1.json: passos 6→6 | dicas 24 | erros 5 | valores ["6","11/6","5","10/5","Charlie should eat the salad made by Caroline.","ok"] | problema fixo: APROVADO
[50/57] 17salad_rep2.json: passos 6→6 | dicas 24 | erros 8 | valores ["6","11/6","5","10/5","Charlie should eat the salad made by Todd.","ok"] | problema fixo: APROVADO
[51/57] 17salad_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["6","11/6","5","2","Charlie should eat the salad made by Todd.","11/6"] | problema fixo: REPROVADO ["2→2"]
[52/57] 18prize_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["2","3/2","4","6/4","Both of them were searching for the same amount of time.","3/2"] | problema fixo: APROVADO
[53/57] 18prize_rep2.json: passos 6→6 | dicas 24 | erros 6 | valores ["2","3/2","4","6/4","Both of them were searching for the same amount of time.","3/2"] | problema fixo: APROVADO
[54/57] 18prize_rep3.json: passos 6→6 | dicas 24 | erros 9 | valores ["2","3/2","4","6/4","Both of them were searching for the same amount of time.","3/2"] | problema fixo: APROVADO
[55/57] 19history_rep1.json: passos 6→6 | dicas 24 | erros 10 | valores ["4","5/4","5","4/5","Alicia was working longer.","done"] | problema fixo: APROVADO
[56/57] 19history_rep2.json: passos 6→6 | dicas 24 | erros 8 | valores ["4","5/4","5","4/5","Alicia was working longer.","ok"] | problema fixo: APROVADO
[57/57] 19history_rep3.json: passos 6→6 | dicas 24 | erros 8 | valores ["4","5/4","5","4/5","Alicia was working longer.","ok"] | problema fixo: APROVADO
✓ materialização: 57/57 registros em /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.20/materializado-v2-fixa-custo-beneficio
EXIT=0
