MATERIALIZAÇÃO — 57 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.20/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.14 (planner + worker por registro)
[1/57] 01book_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["1/4","4","1/4","5","1/5","1/5","Laura has read less of the novel.","1/4"] | problema fixo: APROVADO
[28/57] 10homework_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["1/3","3","1/3","9","2/9","3/9","Yes; Jeff was going ahead with the homework.","ok"] | problema fixo: APROVADO
[29/57] 10homework_rep2.json: passos 8→8 | dicas 32 | erros 15 | valores ["1/3,2/9","3","1/3","9","2/9","1/3","No; it was Shannon who was going ahead.","done"] | problema fixo: REPROVADO ["1/3,2/9→3.2"]
[30/57] 10homework_rep3.json: passos 8→8 | dicas 32 | erros 12 | valores ["1/3,2/9","3","1/3","9","2/9","Jeff's point is farther right","Yes; Jeff was going ahead with the homework.","1/3"] | problema fixo: REPROVADO ["1/3,2/9→3.2"]
[31/57] 11pizza_rep1.json: passos 9→9 | dicas 36 | erros 15 | valores ["2/8","2/8","8","2/8","4","1/4","same_position","Both ate the same amount of their pizza.","ok"] | problema fixo: APROVADO
[32/57] 11pizza_rep2.json: passos 9→9 | dicas 36 | erros 19 | valores ["2/8","1/4","8","2/8","4","1/4","same position","Both ate the same amount of their pizza.","2/8"] | problema fixo: APROVADO
[33/57] 11pizza_rep3.json: passos 9→9 | dicas 36 | erros 11 | valores ["2/8","1/4","8","2/8","4","1/4","same amount","Both ate the same amount of their pizza.","2/8"] | problema fixo: APROVADO
[34/57] 12charity_rep1.json: passos 8→8 | dicas 32 | erros 15 | valores ["8/7","7","8/7","8","8/8","Christin ran more hours.","Christin ran more hours.","ok"] | problema fixo: APROVADO
[35/57] 12charity_rep2.json: passos 8→8 | dicas 32 | erros 14 | valores ["8/7","7","8/7","8","8/8","Christin ran more hours.","Christin ran more hours.","ok"] | problema fixo: APROVADO
[36/57] 12charity_rep3.json: passos 8→8 | dicas 32 | erros 15 | valores ["8/7","7","8/7","8","8/8","8/7","Christin ran more hours.","8/7"] | problema fixo: APROVADO
[37/57] 13school_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["13/10","10","13/10","3","5/3","13/10","Yes; Scott is right. He does live farther away.","ok"] | problema fixo: APROVADO
[38/57] 13school_rep2.json: passos 8→8 | dicas 32 | erros 12 | valores ["13/10","10","13/10","3","5/3","13/10","Yes; Scott is right. He does live farther away.","ok"] | problema fixo: APROVADO
[39/57] 13school_rep3.json: passos 8→8 | dicas 32 | erros 11 | valores ["13/10","10","13/10","3","5/3","13/10","Yes; Scott is right. He does live farther away.","ok"] | problema fixo: APROVADO
[40/57] 14candy_rep1.json: passos 8→8 | dicas 32 | erros 15 | valores ["9/8","8","9/8","10","11/10","9/8","Russ has less candy.","ok"] | problema fixo: APROVADO
[41/57] 14candy_rep2.json: passos 8→8 | dicas 32 | erros 10 | valores ["9/8","8","9/8","10","11/10","9/8","Russ has less candy.","ok"] | problema fixo: APROVADO
[42/57] 14candy_rep3.json: passos 8→8 | dicas 32 | erros 16 | valores ["9/8,11/10","8","9/8","10","11/10","Russ has less candy.","Russ has less candy.","ok"] | problema fixo: REPROVADO ["9/8,11/10→8.11"]
[43/57] 15sauce_rep1.json: passos 8→8 | dicas 32 | erros 8 | valores ["10/9","9","10/9","1","1","Dale","Sauce made by Dale.","done"] | problema fixo: APROVADO
[44/57] 15sauce_rep2.json: passos 9→9 | dicas 36 | erros 2 | valores ["10/9","9","10/9","1","1","Dale","10/9>1","Sauce made by Dale.","ok"] | problema fixo: APROVADO
[45/57] 15sauce_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["10/9","9","10/9","1","1","10/9","Sauce made by Dale.","ok"] | problema fixo: APROVADO
[46/57] 16chemistry_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["15/8","8","15/8","7","13/7","Jason","No; Jason actually has more acid.","ok"] | problema fixo: APROVADO
[47/57] 16chemistry_rep2.json: passos 8→8 | dicas 32 | erros 10 | valores ["15/8","8","15/8","7","13/7","15/8","No; Jason actually has more acid.","ok"] | problema fixo: APROVADO
[48/57] 16chemistry_rep3.json: passos 8→8 | dicas 32 | erros 14 | valores ["15/8","8","15/8","7","13/7","Jason","No; Jason actually has more acid.","ok"] | problema fixo: APROVADO
[49/57] 17salad_rep1.json: passos 8→8 | dicas 32 | erros 11 | valores ["11/6","6","11/6","5","10/5","11/6","Charlie should eat the salad made by Todd.","ok"] | problema fixo: APROVADO
[50/57] 17salad_rep2.json: passos 7→7 | dicas 28 | erros 10 | valores ["11/6","6","11/6","5","10/5","Charlie should eat the salad made by Todd.","ok"] | problema fixo: APROVADO
[51/57] 17salad_rep3.json: passos 8→8 | dicas 32 | erros 14 | valores ["Charlie should eat the salad made by Todd.","6","11/6","5","10/5","Charlie should eat the salad made by Todd.","Charlie should eat the salad made by Todd.","ok"] | problema fixo: APROVADO
[52/57] 18prize_rep1.json: passos 9→9 | dicas 36 | erros 11 | valores ["3/2","6/4","2","1.5","4","1.5","same position","Both of them were searching for the same amount of time.","ok"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5"]
[53/57] 18prize_rep2.json: passos 9→9 | dicas 36 | erros 12 | valores ["3/2","6/4","2","3/2","4","6/4","same_position","Both of them were searching for the same amount of time.","ok"] | problema fixo: APROVADO
[54/57] 18prize_rep3.json: passos 9→9 | dicas 36 | erros 20 | valores ["3/2","6/4","2","3/2","4","6/4","3/2","Both of them were searching for the same amount of time.","3/2"] | problema fixo: APROVADO
[55/57] 19history_rep1.json: passos 8→8 | dicas 32 | erros 6 | valores ["5/4","4","5/4","5","4/5","5/4","Alicia was working longer.","ok"] | problema fixo: APROVADO
[56/57] 19history_rep2.json: passos 8→8 | dicas 32 | erros 0 | valores ["5/4","4","5/4","5","4/5","5/4","Alicia was working longer.","ok"] | problema fixo: APROVADO
[57/57] 19history_rep3.json: passos 8→8 | dicas 32 | erros 14 | valores ["5/4","4","5/4","5","4/5","Alicia was working longer.","Alicia was working longer.","ok"] | problema fixo: APROVADO
✓ materialização: 57/57 registros em /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.20/materializado-v3-fixa-estudantes-qwen
EXIT=0
